"","USUBJID","SPREFID","DOSDUR","ROUTE","LBTESTCD","LBCAT","LBORRES","LBORRESU","LBDY","LBMETHOD","LBSPEC","SEX","INITBW","SPECIES","STRAIN","TRTV","START_YEAR","AGE","AGEU","anesthetics"
"1","Study-01-0001","Study-01","4 week","ORAL","BW_D1","",189,"g",1,"","","M",189,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"2","Study-01-0001","Study-01","4 week","ORAL","BW_D28","",336,"g",28,"","","M",189,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"3","Study-01-0001","Study-01","4 week","ORAL","CA","CLINICAL CHEMISTRY",2.77,"mmol/l",33,"iBroker:Ca","SERUM","M",189,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"4","Study-01-0001","Study-01","4 week","ORAL","RBC","HEMATOLOGY",8.33,"T/l",33,"iBroker:ERY","PLASMA","M",189,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"5","Study-01-0001","Study-01","4 week","ORAL","BW_D14","",274,"g",14,"","","M",189,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"6","Study-01-0001","Study-01","4 week","ORAL","K","CLINICAL CHEMISTRY",5.6,"mmol/l",33,"iBroker:K","SERUM","M",189,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"7","Study-01-0001","Study-01","4 week","ORAL","SODIUM","CLINICAL CHEMISTRY",145,"mmol/l",33,"iBroker:Na","SERUM","M",189,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"8","Study-01-0002","Study-01","4 week","ORAL","CA","CLINICAL CHEMISTRY",2.92,"mmol/l",33,"iBroker:Ca","SERUM","M",180,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"9","Study-01-0002","Study-01","4 week","ORAL","SODIUM","CLINICAL CHEMISTRY",146,"mmol/l",33,"iBroker:Na","SERUM","M",180,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"10","Study-01-0002","Study-01","4 week","ORAL","RBC","HEMATOLOGY",8.43,"T/l",33,"iBroker:ERY","PLASMA","M",180,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"11","Study-01-0002","Study-01","4 week","ORAL","K","CLINICAL CHEMISTRY",6.1,"mmol/l",33,"iBroker:K","SERUM","M",180,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"12","Study-01-0002","Study-01","4 week","ORAL","BW_D28","",318,"g",28,"","","M",180,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"13","Study-01-0002","Study-01","4 week","ORAL","BW_D14","",262,"g",14,"","","M",180,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"14","Study-01-0002","Study-01","4 week","ORAL","BW_D1","",180,"g",1,"","","M",180,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"15","Study-01-0003","Study-01","4 week","ORAL","CA","CLINICAL CHEMISTRY",2.94,"mmol/l",33,"iBroker:Ca","SERUM","M",189,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"16","Study-01-0003","Study-01","4 week","ORAL","BW_D14","",279,"g",14,"","","M",189,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"17","Study-01-0003","Study-01","4 week","ORAL","BW_D28","",306,"g",28,"","","M",189,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"18","Study-01-0003","Study-01","4 week","ORAL","SODIUM","CLINICAL CHEMISTRY",145,"mmol/l",33,"iBroker:Na","SERUM","M",189,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"19","Study-01-0003","Study-01","4 week","ORAL","RBC","HEMATOLOGY",5.81,"T/l",33,"iBroker:ERY","PLASMA","M",189,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"20","Study-01-0003","Study-01","4 week","ORAL","BW_D1","",189,"g",1,"","","M",189,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"21","Study-01-0003","Study-01","4 week","ORAL","K","CLINICAL CHEMISTRY",5,"mmol/l",33,"iBroker:K","SERUM","M",189,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"22","Study-01-0004","Study-01","4 week","ORAL","SODIUM","CLINICAL CHEMISTRY",146,"mmol/l",33,"iBroker:Na","SERUM","M",173,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"23","Study-01-0004","Study-01","4 week","ORAL","CA","CLINICAL CHEMISTRY",2.91,"mmol/l",33,"iBroker:Ca","SERUM","M",173,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
