LBTESTCD,dose_group,consistency_flag,percentage
BW_D1,Dose group 1,con,0.6
BW_D1,Dose group 1,incon_sig,99.4
BW_D1,Dose group 1,incon_non_sig,0
BW_D1,Dose group 1,inv_sig,0
BW_D1,Dose group 2,con,0.6
BW_D1,Dose group 2,incon_sig,99.4
BW_D1,Dose group 2,incon_non_sig,0
BW_D1,Dose group 2,inv_sig,0
BW_D1,Dose group 3,con,0
BW_D1,Dose group 3,incon_sig,0
BW_D1,Dose group 3,incon_non_sig,12.6
BW_D1,Dose group 3,inv_sig,87.4
BW_D14,Dose group 1,con,67
BW_D14,Dose group 1,incon_sig,33
BW_D14,Dose group 1,incon_non_sig,0
BW_D14,Dose group 1,inv_sig,0
BW_D14,Dose group 2,con,81.4
BW_D14,Dose group 2,incon_sig,18.6
BW_D14,Dose group 2,incon_non_sig,0
BW_D14,Dose group 2,inv_sig,0
BW_D14,Dose group 3,con,96.4
BW_D14,Dose group 3,incon_sig,3.6
BW_D14,Dose group 3,incon_non_sig,0
BW_D14,Dose group 3,inv_sig,0
BW_D28,Dose group 1,con,96.4
BW_D28,Dose group 1,incon_sig,3.6
BW_D28,Dose group 1,incon_non_sig,0
BW_D28,Dose group 1,inv_sig,0
BW_D28,Dose group 2,con,99.2
BW_D28,Dose group 2,incon_sig,0.8
BW_D28,Dose group 2,incon_non_sig,0
BW_D28,Dose group 2,inv_sig,0
BW_D28,Dose group 3,con,99.8
BW_D28,Dose group 3,incon_sig,0.2
BW_D28,Dose group 3,incon_non_sig,0
BW_D28,Dose group 3,inv_sig,0
CA,Dose group 1,con,31.6
CA,Dose group 1,incon_sig,68.4
CA,Dose group 1,incon_non_sig,0
CA,Dose group 1,inv_sig,0
CA,Dose group 2,con,0
CA,Dose group 2,incon_sig,0
CA,Dose group 2,incon_non_sig,68.2
CA,Dose group 2,inv_sig,31.8
CA,Dose group 3,con,1.6
CA,Dose group 3,incon_sig,0
CA,Dose group 3,incon_non_sig,90.6
CA,Dose group 3,inv_sig,7.8
CL,Dose group 1,con,82.8
CL,Dose group 1,incon_sig,17.2
CL,Dose group 1,incon_non_sig,0
CL,Dose group 1,inv_sig,0
CL,Dose group 2,con,64
CL,Dose group 2,incon_sig,36
CL,Dose group 2,incon_non_sig,0
CL,Dose group 2,inv_sig,0
CL,Dose group 3,con,0.6
CL,Dose group 3,incon_sig,0
CL,Dose group 3,incon_non_sig,95.8
CL,Dose group 3,inv_sig,3.6
K,Dose group 1,con,58.2
K,Dose group 1,incon_sig,41.8
K,Dose group 1,incon_non_sig,0
K,Dose group 1,inv_sig,0
K,Dose group 2,con,88.4
K,Dose group 2,incon_sig,11.6
K,Dose group 2,incon_non_sig,0
K,Dose group 2,inv_sig,0
K,Dose group 3,con,94.8
K,Dose group 3,incon_sig,5.2
K,Dose group 3,incon_non_sig,0
K,Dose group 3,inv_sig,0
PHOS,Dose group 1,con,3
PHOS,Dose group 1,incon_sig,97
PHOS,Dose group 1,incon_non_sig,0
PHOS,Dose group 1,inv_sig,0
PHOS,Dose group 2,con,5.8
PHOS,Dose group 2,incon_sig,94.2
PHOS,Dose group 2,incon_non_sig,0
PHOS,Dose group 2,inv_sig,0
PHOS,Dose group 3,con,2.2
PHOS,Dose group 3,incon_sig,0
PHOS,Dose group 3,incon_non_sig,90.2
PHOS,Dose group 3,inv_sig,7.6
RBC,Dose group 1,con,48.8
RBC,Dose group 1,incon_sig,51.2
RBC,Dose group 1,incon_non_sig,0
RBC,Dose group 1,inv_sig,0
RBC,Dose group 2,con,3.8
RBC,Dose group 2,incon_sig,96.2
RBC,Dose group 2,incon_non_sig,0
RBC,Dose group 2,inv_sig,0
RBC,Dose group 3,con,15.2
RBC,Dose group 3,incon_sig,84.8
RBC,Dose group 3,incon_non_sig,0
RBC,Dose group 3,inv_sig,0
SODIUM,Dose group 1,con,93.2
SODIUM,Dose group 1,incon_sig,6.8
SODIUM,Dose group 1,incon_non_sig,0
SODIUM,Dose group 1,inv_sig,0
SODIUM,Dose group 2,con,62
SODIUM,Dose group 2,incon_sig,38
SODIUM,Dose group 2,incon_non_sig,0
SODIUM,Dose group 2,inv_sig,0
SODIUM,Dose group 3,con,80
SODIUM,Dose group 3,incon_sig,0
SODIUM,Dose group 3,incon_non_sig,20
SODIUM,Dose group 3,inv_sig,0
