LBTESTCD,dose_group,consistency_flag,percentage
BW_D1,Dose group 1,con,18.4
BW_D1,Dose group 1,incon_sig,81.6
BW_D1,Dose group 1,incon_non_sig,0
BW_D1,Dose group 1,inv_sig,0
BW_D1,Dose group 2,con,25.6
BW_D1,Dose group 2,incon_sig,74.4
BW_D1,Dose group 2,incon_non_sig,0
BW_D1,Dose group 2,inv_sig,0
BW_D1,Dose group 3,con,0
BW_D1,Dose group 3,incon_sig,0
BW_D1,Dose group 3,incon_non_sig,82.4
BW_D1,Dose group 3,inv_sig,17.6
BW_D14,Dose group 1,con,92.4
BW_D14,Dose group 1,incon_sig,7.6
BW_D14,Dose group 1,incon_non_sig,0
BW_D14,Dose group 1,inv_sig,0
BW_D14,Dose group 2,con,97.2
BW_D14,Dose group 2,incon_sig,2.8
BW_D14,Dose group 2,incon_non_sig,0
BW_D14,Dose group 2,inv_sig,0
BW_D14,Dose group 3,con,100
BW_D14,Dose group 3,incon_sig,0
BW_D14,Dose group 3,incon_non_sig,0
BW_D14,Dose group 3,inv_sig,0
BW_D28,Dose group 1,con,97.8
BW_D28,Dose group 1,incon_sig,2.2
BW_D28,Dose group 1,incon_non_sig,0
BW_D28,Dose group 1,inv_sig,0
BW_D28,Dose group 2,con,100
BW_D28,Dose group 2,incon_sig,0
BW_D28,Dose group 2,incon_non_sig,0
BW_D28,Dose group 2,inv_sig,0
BW_D28,Dose group 3,con,100
BW_D28,Dose group 3,incon_sig,0
BW_D28,Dose group 3,incon_non_sig,0
BW_D28,Dose group 3,inv_sig,0
CA,Dose group 1,con,97.2
CA,Dose group 1,incon_sig,2.8
CA,Dose group 1,incon_non_sig,0
CA,Dose group 1,inv_sig,0
CA,Dose group 2,con,100
CA,Dose group 2,incon_sig,0
CA,Dose group 2,incon_non_sig,0
CA,Dose group 2,inv_sig,0
CA,Dose group 3,con,100
CA,Dose group 3,incon_sig,0
CA,Dose group 3,incon_non_sig,0
CA,Dose group 3,inv_sig,0
CL,Dose group 1,con,99.6
CL,Dose group 1,incon_sig,0.4
CL,Dose group 1,incon_non_sig,0
CL,Dose group 1,inv_sig,0
CL,Dose group 2,con,100
CL,Dose group 2,incon_sig,0
CL,Dose group 2,incon_non_sig,0
CL,Dose group 2,inv_sig,0
CL,Dose group 3,con,5.2
CL,Dose group 3,incon_sig,0
CL,Dose group 3,incon_non_sig,94.8
CL,Dose group 3,inv_sig,0
K,Dose group 1,con,99.4
K,Dose group 1,incon_sig,0.6
K,Dose group 1,incon_non_sig,0
K,Dose group 1,inv_sig,0
K,Dose group 2,con,37
K,Dose group 2,incon_sig,63
K,Dose group 2,incon_non_sig,0
K,Dose group 2,inv_sig,0
K,Dose group 3,con,9.4
K,Dose group 3,incon_sig,90.6
K,Dose group 3,incon_non_sig,0
K,Dose group 3,inv_sig,0
PHOS,Dose group 1,con,92.8
PHOS,Dose group 1,incon_sig,7.2
PHOS,Dose group 1,incon_non_sig,0
PHOS,Dose group 1,inv_sig,0
PHOS,Dose group 2,con,97.6
PHOS,Dose group 2,incon_sig,2.4
PHOS,Dose group 2,incon_non_sig,0
PHOS,Dose group 2,inv_sig,0
PHOS,Dose group 3,con,52
PHOS,Dose group 3,incon_sig,0
PHOS,Dose group 3,incon_non_sig,48
PHOS,Dose group 3,inv_sig,0
RBC,Dose group 1,con,45
RBC,Dose group 1,incon_sig,55
RBC,Dose group 1,incon_non_sig,0
RBC,Dose group 1,inv_sig,0
RBC,Dose group 2,con,0.8
RBC,Dose group 2,incon_sig,99.2
RBC,Dose group 2,incon_non_sig,0
RBC,Dose group 2,inv_sig,0
RBC,Dose group 3,con,7
RBC,Dose group 3,incon_sig,93
RBC,Dose group 3,incon_non_sig,0
RBC,Dose group 3,inv_sig,0
SODIUM,Dose group 1,con,67.8
SODIUM,Dose group 1,incon_sig,32.2
SODIUM,Dose group 1,incon_non_sig,0
SODIUM,Dose group 1,inv_sig,0
SODIUM,Dose group 2,con,28.8
SODIUM,Dose group 2,incon_sig,71.2
SODIUM,Dose group 2,incon_non_sig,0
SODIUM,Dose group 2,inv_sig,0
SODIUM,Dose group 3,con,94.6
SODIUM,Dose group 3,incon_sig,0
SODIUM,Dose group 3,incon_non_sig,5.4
SODIUM,Dose group 3,inv_sig,0
