LBTESTCD,dose_group,consistency_flag,percentage
BW_D1,Dose group 1,con,96.8
BW_D1,Dose group 1,incon_sig,3.2
BW_D1,Dose group 1,incon_non_sig,0
BW_D1,Dose group 1,inv_sig,0
BW_D1,Dose group 2,con,98.4
BW_D1,Dose group 2,incon_sig,1.6
BW_D1,Dose group 2,incon_non_sig,0
BW_D1,Dose group 2,inv_sig,0
BW_D1,Dose group 3,con,0
BW_D1,Dose group 3,incon_sig,0
BW_D1,Dose group 3,incon_non_sig,100
BW_D1,Dose group 3,inv_sig,0
BW_D14,Dose group 1,con,100
BW_D14,Dose group 1,incon_sig,0
BW_D14,Dose group 1,incon_non_sig,0
BW_D14,Dose group 1,inv_sig,0
BW_D14,Dose group 2,con,100
BW_D14,Dose group 2,incon_sig,0
BW_D14,Dose group 2,incon_non_sig,0
BW_D14,Dose group 2,inv_sig,0
BW_D14,Dose group 3,con,100
BW_D14,Dose group 3,incon_sig,0
BW_D14,Dose group 3,incon_non_sig,0
BW_D14,Dose group 3,inv_sig,0
BW_D28,Dose group 1,con,100
BW_D28,Dose group 1,incon_sig,0
BW_D28,Dose group 1,incon_non_sig,0
BW_D28,Dose group 1,inv_sig,0
BW_D28,Dose group 2,con,100
BW_D28,Dose group 2,incon_sig,0
BW_D28,Dose group 2,incon_non_sig,0
BW_D28,Dose group 2,inv_sig,0
BW_D28,Dose group 3,con,100
BW_D28,Dose group 3,incon_sig,0
BW_D28,Dose group 3,incon_non_sig,0
BW_D28,Dose group 3,inv_sig,0
CA,Dose group 1,con,100
CA,Dose group 1,incon_sig,0
CA,Dose group 1,incon_non_sig,0
CA,Dose group 1,inv_sig,0
CA,Dose group 2,con,97.6
CA,Dose group 2,incon_sig,0
CA,Dose group 2,incon_non_sig,2.4
CA,Dose group 2,inv_sig,0
CA,Dose group 3,con,100
CA,Dose group 3,incon_sig,0
CA,Dose group 3,incon_non_sig,0
CA,Dose group 3,inv_sig,0
CL,Dose group 1,con,99.4
CL,Dose group 1,incon_sig,0.6
CL,Dose group 1,incon_non_sig,0
CL,Dose group 1,inv_sig,0
CL,Dose group 2,con,100
CL,Dose group 2,incon_sig,0
CL,Dose group 2,incon_non_sig,0
CL,Dose group 2,inv_sig,0
CL,Dose group 3,con,25.6
CL,Dose group 3,incon_sig,0
CL,Dose group 3,incon_non_sig,74.4
CL,Dose group 3,inv_sig,0
K,Dose group 1,con,99.4
K,Dose group 1,incon_sig,0.6
K,Dose group 1,incon_non_sig,0
K,Dose group 1,inv_sig,0
K,Dose group 2,con,99.8
K,Dose group 2,incon_sig,0.2
K,Dose group 2,incon_non_sig,0
K,Dose group 2,inv_sig,0
K,Dose group 3,con,28.6
K,Dose group 3,incon_sig,71.4
K,Dose group 3,incon_non_sig,0
K,Dose group 3,inv_sig,0
PHOS,Dose group 1,con,100
PHOS,Dose group 1,incon_sig,0
PHOS,Dose group 1,incon_non_sig,0
PHOS,Dose group 1,inv_sig,0
PHOS,Dose group 2,con,100
PHOS,Dose group 2,incon_sig,0
PHOS,Dose group 2,incon_non_sig,0
PHOS,Dose group 2,inv_sig,0
PHOS,Dose group 3,con,77.2
PHOS,Dose group 3,incon_sig,0
PHOS,Dose group 3,incon_non_sig,22.8
PHOS,Dose group 3,inv_sig,0
RBC,Dose group 1,con,100
RBC,Dose group 1,incon_sig,0
RBC,Dose group 1,incon_non_sig,0
RBC,Dose group 1,inv_sig,0
RBC,Dose group 2,con,33.8
RBC,Dose group 2,incon_sig,66.2
RBC,Dose group 2,incon_non_sig,0
RBC,Dose group 2,inv_sig,0
RBC,Dose group 3,con,79.4
RBC,Dose group 3,incon_sig,20.6
RBC,Dose group 3,incon_non_sig,0
RBC,Dose group 3,inv_sig,0
SODIUM,Dose group 1,con,99.2
SODIUM,Dose group 1,incon_sig,0.8
SODIUM,Dose group 1,incon_non_sig,0
SODIUM,Dose group 1,inv_sig,0
SODIUM,Dose group 2,con,37.6
SODIUM,Dose group 2,incon_sig,62.4
SODIUM,Dose group 2,incon_non_sig,0
SODIUM,Dose group 2,inv_sig,0
SODIUM,Dose group 3,con,91.6
SODIUM,Dose group 3,incon_sig,0
SODIUM,Dose group 3,incon_non_sig,8.4
SODIUM,Dose group 3,inv_sig,0
