LBTESTCD,dose_group,consistency_flag,percentage
BW_D1,Dose group 1,con,21
BW_D1,Dose group 1,incon_sig,79
BW_D1,Dose group 1,incon_non_sig,0
BW_D1,Dose group 1,inv_sig,0
BW_D1,Dose group 2,con,28
BW_D1,Dose group 2,incon_sig,72
BW_D1,Dose group 2,incon_non_sig,0
BW_D1,Dose group 2,inv_sig,0
BW_D1,Dose group 3,con,0
BW_D1,Dose group 3,incon_sig,0
BW_D1,Dose group 3,incon_non_sig,86.6
BW_D1,Dose group 3,inv_sig,13.4
BW_D14,Dose group 1,con,90.8
BW_D14,Dose group 1,incon_sig,9.2
BW_D14,Dose group 1,incon_non_sig,0
BW_D14,Dose group 1,inv_sig,0
BW_D14,Dose group 2,con,97.4
BW_D14,Dose group 2,incon_sig,2.6
BW_D14,Dose group 2,incon_non_sig,0
BW_D14,Dose group 2,inv_sig,0
BW_D14,Dose group 3,con,100
BW_D14,Dose group 3,incon_sig,0
BW_D14,Dose group 3,incon_non_sig,0
BW_D14,Dose group 3,inv_sig,0
BW_D28,Dose group 1,con,97.6
BW_D28,Dose group 1,incon_sig,2.4
BW_D28,Dose group 1,incon_non_sig,0
BW_D28,Dose group 1,inv_sig,0
BW_D28,Dose group 2,con,100
BW_D28,Dose group 2,incon_sig,0
BW_D28,Dose group 2,incon_non_sig,0
BW_D28,Dose group 2,inv_sig,0
BW_D28,Dose group 3,con,100
BW_D28,Dose group 3,incon_sig,0
BW_D28,Dose group 3,incon_non_sig,0
BW_D28,Dose group 3,inv_sig,0
CA,Dose group 1,con,94.8
CA,Dose group 1,incon_sig,5.2
CA,Dose group 1,incon_non_sig,0
CA,Dose group 1,inv_sig,0
CA,Dose group 2,con,100
CA,Dose group 2,incon_sig,0
CA,Dose group 2,incon_non_sig,0
CA,Dose group 2,inv_sig,0
CA,Dose group 3,con,100
CA,Dose group 3,incon_sig,0
CA,Dose group 3,incon_non_sig,0
CA,Dose group 3,inv_sig,0
CL,Dose group 1,con,100
CL,Dose group 1,incon_sig,0
CL,Dose group 1,incon_non_sig,0
CL,Dose group 1,inv_sig,0
CL,Dose group 2,con,99.8
CL,Dose group 2,incon_sig,0.2
CL,Dose group 2,incon_non_sig,0
CL,Dose group 2,inv_sig,0
CL,Dose group 3,con,5.6
CL,Dose group 3,incon_sig,0
CL,Dose group 3,incon_non_sig,94.4
CL,Dose group 3,inv_sig,0
K,Dose group 1,con,98.4
K,Dose group 1,incon_sig,1.6
K,Dose group 1,incon_non_sig,0
K,Dose group 1,inv_sig,0
K,Dose group 2,con,0.8
K,Dose group 2,incon_sig,99.2
K,Dose group 2,incon_non_sig,0
K,Dose group 2,inv_sig,0
K,Dose group 3,con,0
K,Dose group 3,incon_sig,100
K,Dose group 3,incon_non_sig,0
K,Dose group 3,inv_sig,0
PHOS,Dose group 1,con,98.6
PHOS,Dose group 1,incon_sig,1.4
PHOS,Dose group 1,incon_non_sig,0
PHOS,Dose group 1,inv_sig,0
PHOS,Dose group 2,con,100
PHOS,Dose group 2,incon_sig,0
PHOS,Dose group 2,incon_non_sig,0
PHOS,Dose group 2,inv_sig,0
PHOS,Dose group 3,con,95.6
PHOS,Dose group 3,incon_sig,0
PHOS,Dose group 3,incon_non_sig,4.4
PHOS,Dose group 3,inv_sig,0
RBC,Dose group 1,con,47.8
RBC,Dose group 1,incon_sig,52.2
RBC,Dose group 1,incon_non_sig,0
RBC,Dose group 1,inv_sig,0
RBC,Dose group 2,con,1.2
RBC,Dose group 2,incon_sig,98.8
RBC,Dose group 2,incon_non_sig,0
RBC,Dose group 2,inv_sig,0
RBC,Dose group 3,con,6.8
RBC,Dose group 3,incon_sig,93.2
RBC,Dose group 3,incon_non_sig,0
RBC,Dose group 3,inv_sig,0
SODIUM,Dose group 1,con,35.4
SODIUM,Dose group 1,incon_sig,64.6
SODIUM,Dose group 1,incon_non_sig,0
SODIUM,Dose group 1,inv_sig,0
SODIUM,Dose group 2,con,0.2
SODIUM,Dose group 2,incon_sig,99.8
SODIUM,Dose group 2,incon_non_sig,0
SODIUM,Dose group 2,inv_sig,0
SODIUM,Dose group 3,con,100
SODIUM,Dose group 3,incon_sig,0
SODIUM,Dose group 3,incon_non_sig,0
SODIUM,Dose group 3,inv_sig,0
