LBTESTCD,dose_group,consistency_flag,percentage
BW_D1,Dose group 1,con,96.4
BW_D1,Dose group 1,incon_sig,3.6
BW_D1,Dose group 1,incon_non_sig,0
BW_D1,Dose group 1,inv_sig,0
BW_D1,Dose group 2,con,97.4
BW_D1,Dose group 2,incon_sig,2.6
BW_D1,Dose group 2,incon_non_sig,0
BW_D1,Dose group 2,inv_sig,0
BW_D1,Dose group 3,con,0
BW_D1,Dose group 3,incon_sig,0
BW_D1,Dose group 3,incon_non_sig,100
BW_D1,Dose group 3,inv_sig,0
BW_D14,Dose group 1,con,100
BW_D14,Dose group 1,incon_sig,0
BW_D14,Dose group 1,incon_non_sig,0
BW_D14,Dose group 1,inv_sig,0
BW_D14,Dose group 2,con,100
BW_D14,Dose group 2,incon_sig,0
BW_D14,Dose group 2,incon_non_sig,0
BW_D14,Dose group 2,inv_sig,0
BW_D14,Dose group 3,con,100
BW_D14,Dose group 3,incon_sig,0
BW_D14,Dose group 3,incon_non_sig,0
BW_D14,Dose group 3,inv_sig,0
BW_D28,Dose group 1,con,100
BW_D28,Dose group 1,incon_sig,0
BW_D28,Dose group 1,incon_non_sig,0
BW_D28,Dose group 1,inv_sig,0
BW_D28,Dose group 2,con,100
BW_D28,Dose group 2,incon_sig,0
BW_D28,Dose group 2,incon_non_sig,0
BW_D28,Dose group 2,inv_sig,0
BW_D28,Dose group 3,con,100
BW_D28,Dose group 3,incon_sig,0
BW_D28,Dose group 3,incon_non_sig,0
BW_D28,Dose group 3,inv_sig,0
CA,Dose group 1,con,100
CA,Dose group 1,incon_sig,0
CA,Dose group 1,incon_non_sig,0
CA,Dose group 1,inv_sig,0
CA,Dose group 2,con,98.8
CA,Dose group 2,incon_sig,0
CA,Dose group 2,incon_non_sig,1.2
CA,Dose group 2,inv_sig,0
CA,Dose group 3,con,100
CA,Dose group 3,incon_sig,0
CA,Dose group 3,incon_non_sig,0
CA,Dose group 3,inv_sig,0
CL,Dose group 1,con,99.2
CL,Dose group 1,incon_sig,0.8
CL,Dose group 1,incon_non_sig,0
CL,Dose group 1,inv_sig,0
CL,Dose group 2,con,100
CL,Dose group 2,incon_sig,0
CL,Dose group 2,incon_non_sig,0
CL,Dose group 2,inv_sig,0
CL,Dose group 3,con,29
CL,Dose group 3,incon_sig,0
CL,Dose group 3,incon_non_sig,71
CL,Dose group 3,inv_sig,0
K,Dose group 1,con,100
K,Dose group 1,incon_sig,0
K,Dose group 1,incon_non_sig,0
K,Dose group 1,inv_sig,0
K,Dose group 2,con,100
K,Dose group 2,incon_sig,0
K,Dose group 2,incon_non_sig,0
K,Dose group 2,inv_sig,0
K,Dose group 3,con,0.8
K,Dose group 3,incon_sig,99.2
K,Dose group 3,incon_non_sig,0
K,Dose group 3,inv_sig,0
PHOS,Dose group 1,con,100
PHOS,Dose group 1,incon_sig,0
PHOS,Dose group 1,incon_non_sig,0
PHOS,Dose group 1,inv_sig,0
PHOS,Dose group 2,con,100
PHOS,Dose group 2,incon_sig,0
PHOS,Dose group 2,incon_non_sig,0
PHOS,Dose group 2,inv_sig,0
PHOS,Dose group 3,con,100
PHOS,Dose group 3,incon_sig,0
PHOS,Dose group 3,incon_non_sig,0
PHOS,Dose group 3,inv_sig,0
RBC,Dose group 1,con,100
RBC,Dose group 1,incon_sig,0
RBC,Dose group 1,incon_non_sig,0
RBC,Dose group 1,inv_sig,0
RBC,Dose group 2,con,33.6
RBC,Dose group 2,incon_sig,66.4
RBC,Dose group 2,incon_non_sig,0
RBC,Dose group 2,inv_sig,0
RBC,Dose group 3,con,79
RBC,Dose group 3,incon_sig,21
RBC,Dose group 3,incon_non_sig,0
RBC,Dose group 3,inv_sig,0
SODIUM,Dose group 1,con,97.4
SODIUM,Dose group 1,incon_sig,2.6
SODIUM,Dose group 1,incon_non_sig,0
SODIUM,Dose group 1,inv_sig,0
SODIUM,Dose group 2,con,5.8
SODIUM,Dose group 2,incon_sig,94.2
SODIUM,Dose group 2,incon_non_sig,0
SODIUM,Dose group 2,inv_sig,0
SODIUM,Dose group 3,con,100
SODIUM,Dose group 3,incon_sig,0
SODIUM,Dose group 3,incon_non_sig,0
SODIUM,Dose group 3,inv_sig,0
