USUBJID,STUDYID,DOSDUR,ROUTE,LBTEST,LBTESTCD,LBCAT,LBORRES,LBORRESU,LBMETHOD,LBSPEC,SEX,INITBW,BWORRESU,SPECIES,STRAIN,TRTV,START_YEAR,AGE,ANESTHETICS
T100046-1-0001,T100046-1,4 week,ORAL,Potassium,K,CLINICAL CHEMISTRY,5.6,mmol/l,iBroker:K,SERUM,M,189,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0001,T100046-1,4 week,ORAL,Sodium,SODIUM,CLINICAL CHEMISTRY,145,mmol/l,iBroker:Na,SERUM,M,189,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0001,T100046-1,4 week,ORAL,Calcium,CA,CLINICAL CHEMISTRY,2.77,mmol/l,iBroker:Ca,SERUM,M,189,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0002,T100046-1,4 week,ORAL,Sodium,SODIUM,CLINICAL CHEMISTRY,146,mmol/l,iBroker:Na,SERUM,M,180,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0002,T100046-1,4 week,ORAL,Potassium,K,CLINICAL CHEMISTRY,6.1,mmol/l,iBroker:K,SERUM,M,180,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0002,T100046-1,4 week,ORAL,Calcium,CA,CLINICAL CHEMISTRY,2.92,mmol/l,iBroker:Ca,SERUM,M,180,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0003,T100046-1,4 week,ORAL,Calcium,CA,CLINICAL CHEMISTRY,2.94,mmol/l,iBroker:Ca,SERUM,M,189,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0003,T100046-1,4 week,ORAL,Potassium,K,CLINICAL CHEMISTRY,5,mmol/l,iBroker:K,SERUM,M,189,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0003,T100046-1,4 week,ORAL,Sodium,SODIUM,CLINICAL CHEMISTRY,145,mmol/l,iBroker:Na,SERUM,M,189,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0004,T100046-1,4 week,ORAL,Potassium,K,CLINICAL CHEMISTRY,5.2,mmol/l,iBroker:K,SERUM,M,173,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0004,T100046-1,4 week,ORAL,Calcium,CA,CLINICAL CHEMISTRY,2.91,mmol/l,iBroker:Ca,SERUM,M,173,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0004,T100046-1,4 week,ORAL,Sodium,SODIUM,CLINICAL CHEMISTRY,146,mmol/l,iBroker:Na,SERUM,M,173,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0005,T100046-1,4 week,ORAL,Potassium,K,CLINICAL CHEMISTRY,5.1,mmol/l,iBroker:K,SERUM,M,176,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0005,T100046-1,4 week,ORAL,Calcium,CA,CLINICAL CHEMISTRY,2.92,mmol/l,iBroker:Ca,SERUM,M,176,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0005,T100046-1,4 week,ORAL,Sodium,SODIUM,CLINICAL CHEMISTRY,145,mmol/l,iBroker:Na,SERUM,M,176,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0006,T100046-1,4 week,ORAL,Calcium,CA,CLINICAL CHEMISTRY,2.91,mmol/l,iBroker:Ca,SERUM,M,163,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0006,T100046-1,4 week,ORAL,Potassium,K,CLINICAL CHEMISTRY,5.9,mmol/l,iBroker:K,SERUM,M,163,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0006,T100046-1,4 week,ORAL,Sodium,SODIUM,CLINICAL CHEMISTRY,145,mmol/l,iBroker:Na,SERUM,M,163,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0007,T100046-1,4 week,ORAL,Potassium,K,CLINICAL CHEMISTRY,5.7,mmol/l,iBroker:K,SERUM,M,190,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0007,T100046-1,4 week,ORAL,Sodium,SODIUM,CLINICAL CHEMISTRY,144,mmol/l,iBroker:Na,SERUM,M,190,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0007,T100046-1,4 week,ORAL,Calcium,CA,CLINICAL CHEMISTRY,2.87,mmol/l,iBroker:Ca,SERUM,M,190,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0008,T100046-1,4 week,ORAL,Potassium,K,CLINICAL CHEMISTRY,5.9,mmol/l,iBroker:K,SERUM,M,171,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0008,T100046-1,4 week,ORAL,Calcium,CA,CLINICAL CHEMISTRY,2.99,mmol/l,iBroker:Ca,SERUM,M,171,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0008,T100046-1,4 week,ORAL,Sodium,SODIUM,CLINICAL CHEMISTRY,145,mmol/l,iBroker:Na,SERUM,M,171,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0009,T100046-1,4 week,ORAL,Calcium,CA,CLINICAL CHEMISTRY,2.79,mmol/l,iBroker:Ca,SERUM,M,175,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0009,T100046-1,4 week,ORAL,Sodium,SODIUM,CLINICAL CHEMISTRY,146,mmol/l,iBroker:Na,SERUM,M,175,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0009,T100046-1,4 week,ORAL,Potassium,K,CLINICAL CHEMISTRY,5.8,mmol/l,iBroker:K,SERUM,M,175,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0010,T100046-1,4 week,ORAL,Potassium,K,CLINICAL CHEMISTRY,6.3,mmol/l,iBroker:K,SERUM,M,164,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0010,T100046-1,4 week,ORAL,Sodium,SODIUM,CLINICAL CHEMISTRY,147,mmol/l,iBroker:Na,SERUM,M,164,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100046-1-0010,T100046-1,4 week,ORAL,Calcium,CA,CLINICAL CHEMISTRY,3.06,mmol/l,iBroker:Ca,SERUM,M,164,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),2012,7,CO2/air
T100495-9-0001,T100495-9,13 week,ORAL GAVAGE,Calcium,CA,CLINICAL CHEMISTRY,2.78,mmol/l,iBroker:Ca,SERUM,M,168,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0001,T100495-9,13 week,ORAL GAVAGE,Potassium,K,CLINICAL CHEMISTRY,5.5,mmol/l,iBroker:K,SERUM,M,168,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0001,T100495-9,13 week,ORAL GAVAGE,Sodium,SODIUM,CLINICAL CHEMISTRY,146,mmol/l,iBroker:Na,SERUM,M,168,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0002,T100495-9,13 week,ORAL GAVAGE,Calcium,CA,CLINICAL CHEMISTRY,2.96,mmol/l,iBroker:Ca,SERUM,M,187,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0002,T100495-9,13 week,ORAL GAVAGE,Sodium,SODIUM,CLINICAL CHEMISTRY,147,mmol/l,iBroker:Na,SERUM,M,187,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0002,T100495-9,13 week,ORAL GAVAGE,Potassium,K,CLINICAL CHEMISTRY,5.8,mmol/l,iBroker:K,SERUM,M,187,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
