SEDTS_ID,DOSDUR,EXPSTDTC,GLPFL,GLPTYP,HOUSEGRP,ROUTE,SEXPOP,SNDCTVER,SNDIGVER,SPECIES,SPLANSUB,SPLRLOC,SPLRNAM,SPREFID,SSPONSOR,SSTYP,STCAT,STRAIN,STSTYP,TRMSAC,TRTV,TSTFLOC,DOSENDTC,DOSSTDTC,PDOSFRQ,SBSTRAIN,PLANFSUB,PLANMSUB,TOTANPCH,START_YEAR,MTHTRM
2,91,2018-06-18,Y,Y,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2018-03-30,SEND Implementation Guide Version 3.0,DOG,42,"Lyon Cedex 02,France",MARSHALL,T104009-4,Bayer AG,SUBCHRONIC,Subchronic,BEAGLE,Oral by Gavage,P92D,PEG400,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,NULL
21,1,2017-01-24,N,N,GROUP HOUSED,ORAL GAVAGE,M,SEND Terminology 2018-03-30,SEND Implementation Guide Version 3.0,RAT,18,"Sulzfeld,Germany",CHARLES RIVER,T103235-4,Bayer AG,SINGLE DOSE,Single Dose,WISTAR HAN,Oral by Gavage,P2D,ETHANOL/KOLLIPHORHS15/WATER,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017,NULL
41,14,2018-10-01,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2019-03-29,SEND Implementation Guide Version 3.0,DOG,6,"Lyon Cedex 02,France",MARSHALL,T104190-5,Bayer AG,SUBACUTE,Subacute,BEAGLE,Oral by Gavage,P15D,WATERfI,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,NULL
42,1,2018-04-17,N,N,GROUP HOUSED,ORAL GAVAGE,M,SEND Terminology 2019-03-29,SEND Implementation Guide Version 3.0,RAT,36,"Sulzfeld,Germany",CHARLES RIVER,T103939-5,Bayer AG,SINGLE DOSE,Single Dose,WISTAR HAN,Oral by Gavage,P2D,ETHANOL/KOLLIPHORHS15/WATER,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,NULL
62,1,2018-04-25,N,N,GROUP HOUSED,ORAL GAVAGE,F,SEND Terminology 2019-03-29,SEND Implementation Guide Version 3.0,MONKEY,2,"CD Tilburg,Netherlands",R.C. HARTELUST B.V.,T103942-9,Bayer AG,SINGLE DOSE,Single Dose,CYNOMOLGUS,Oral by Gavage,,ETHANOL/KOLLIPHORHS15/WATER,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,NULL
63,,2019-04-17,N,N,SINGLE HOUSED,,M,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,10,"Sulzfeld,Germany",CHARLES RIVER,Parameter Test-B,Bayer AG,SUBACUTE,Subacute,WISTAR,Oral by Gavage,,,Development DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,NULL
72,7,2018-10-01,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2019-03-29,SEND Implementation Guide Version 3.0,DOG,6,"Lyon Cedex 02,France",MARSHALL,T104163-5,Bayer AG,SUBACUTE,Subacute,BEAGLE,Oral by Gavage,P8D,ETHANOL/KOLLIPHORHS15/WATER,Development DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,NULL
81,2,2018-02-22,N,N,GROUP HOUSED,ORAL GAVAGE,F,SEND Terminology 2019-03-29,SEND Implementation Guide Version 3.0,RAT,8,"AD Horst,Netherland",ENVIGO,T103739-3,Bayer AG,SUBACUTE,Subacute,WISTAR WU,Oral by Gavage,,WATER,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,NULL
101,,2019-07-05,N,N,SINGLE HOUSED,INHALATION,M,SEND Terminology 2019-03-29,SEND Implementation Guide Version 3.0,RAT,4,"AD Horst,Netherland",ENVIGO,AM IH-BAL Test,Bayer AG,special,Special,WISTAR WU,Inhalation,P1D,PHYSIOLOGICSALTSOLUTION,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
102,,2019-07-04,N,N,SINGLE HOUSED,INHALATION,M,SEND Terminology 2019-03-29,SEND Implementation Guide Version 3.0,RAT,4,"AD Horst,Netherland",ENVIGO,IH-BAL Test,Bayer AG,special,Special,WISTAR WU,Inhalation,P1D,PHYSIOLOGICSALTSOLUTION,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
