SPREFID,USUBJID,OMEXCLFL,OMSTAT,OMREASND,OMTESTCD,OMTEST,OMSPEC,OMSTRES,OMSTRESU,OMDY,SEX
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,BRAIN,2.141,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.55057,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,HEART,1.279,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,HEART,0.3289,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,LIVER,11.88,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.055,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,KIDNEY,2.42,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.62231,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,TESTIS,4.075,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,TESTIS,1.0479,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,EPIDIDYMIS,1.466,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIS,0.37699,%,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,"GLAND, PROSTATE",0.20495,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,"GLAND, SEMINAL VESICLE",0.954,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,"GLAND, SEMINAL VESICLE",0.24533,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.063,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.0162,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,SPLEEN,0.994,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.25561,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,THYMUS,0.425,g,92,M
T103875-4,T103875-4-0006,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.10929,%,92,M
T103875-4,T103875-4-0006,,,,WEIGHT,Weight,"GLAND, PROSTATE",0.797,g,92,M
T103875-4,T103875-4-0049,,,,WEIGHT,Weight,BRAIN,1.895,g,94,F
T103875-4,T103875-4-0049,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.90622,%,94,F
T103875-4,T103875-4-0049,,,,WEIGHT,Weight,HEART,0.863,g,94,F
T103875-4,T103875-4-0049,,,,OWBW,Organ to Body Weight Ratio,HEART,0.4127,%,94,F
T103875-4,T103875-4-0049,,,,WEIGHT,Weight,LIVER,7.758,g,94,F
T103875-4,T103875-4-0049,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.71,%,94,F
T103875-4,T103875-4-0049,,,,WEIGHT,Weight,KIDNEY,1.651,g,94,F
T103875-4,T103875-4-0049,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.78954,%,94,F
T103875-4,T103875-4-0049,,,,WEIGHT,Weight,OVARY,0.171,g,94,F
T103875-4,T103875-4-0049,,,,OWBW,Organ to Body Weight Ratio,OVARY,0.08178,%,94,F
T103875-4,T103875-4-0049,,,,WEIGHT,Weight,UTERUS,0.551,g,94,F
T103875-4,T103875-4-0049,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.2635,%,94,F
T103875-4,T103875-4-0049,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.061,g,94,F
T103875-4,T103875-4-0049,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.02917,%,94,F
T103875-4,T103875-4-0049,,,,WEIGHT,Weight,SPLEEN,0.706,g,94,F
T103875-4,T103875-4-0049,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.33762,%,94,F
T103875-4,T103875-4-0049,,,,WEIGHT,Weight,THYMUS,0.351,g,94,F
T103875-4,T103875-4-0049,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.16785,%,94,F
T103875-4,T103875-4-0045,,,,WEIGHT,Weight,BRAIN,1.962,g,93,F
T103875-4,T103875-4-0045,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.90424,%,93,F
T103875-4,T103875-4-0045,,,,WEIGHT,Weight,HEART,0.762,g,93,F
T103875-4,T103875-4-0045,,,,OWBW,Organ to Body Weight Ratio,HEART,0.35119,%,93,F
T103875-4,T103875-4-0045,,,,WEIGHT,Weight,LIVER,7.729,g,93,F
T103875-4,T103875-4-0045,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.5621,%,93,F
T103875-4,T103875-4-0045,,,,WEIGHT,Weight,KIDNEY,1.501,g,93,F
T103875-4,T103875-4-0045,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.69178,%,93,F
T103875-4,T103875-4-0045,,,,WEIGHT,Weight,OVARY,0.116,g,93,F
T103875-4,T103875-4-0045,,,,OWBW,Organ to Body Weight Ratio,OVARY,0.05346,%,93,F
T103875-4,T103875-4-0045,,,,WEIGHT,Weight,UTERUS,0.512,g,93,F
T103875-4,T103875-4-0045,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.23597,%,93,F
T103875-4,T103875-4-0045,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.055,g,93,F
T103875-4,T103875-4-0045,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.02535,%,93,F
T103875-4,T103875-4-0045,,,,WEIGHT,Weight,SPLEEN,0.608,g,93,F
T103875-4,T103875-4-0045,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.28021,%,93,F
T103875-4,T103875-4-0045,,,,WEIGHT,Weight,THYMUS,0.3,g,93,F
T103875-4,T103875-4-0045,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.13826,%,93,F
T103875-4,T103875-4-0050,,,,WEIGHT,Weight,BRAIN,1.865,g,94,F
T103875-4,T103875-4-0050,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.82284,%,94,F
T103875-4,T103875-4-0050,,,,WEIGHT,Weight,HEART,0.858,g,94,F
T103875-4,T103875-4-0050,,,,OWBW,Organ to Body Weight Ratio,HEART,0.37855,%,94,F
T103875-4,T103875-4-0050,,,,WEIGHT,Weight,LIVER,7.828,g,94,F
T103875-4,T103875-4-0050,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.4537,%,94,F
T103875-4,T103875-4-0050,,,,WEIGHT,Weight,KIDNEY,1.73,g,94,F
T103875-4,T103875-4-0050,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.76328,%,94,F
T103875-4,T103875-4-0050,,,,WEIGHT,Weight,OVARY,0.143,g,94,F
T103875-4,T103875-4-0050,,,,OWBW,Organ to Body Weight Ratio,OVARY,0.06309,%,94,F
T103875-4,T103875-4-0050,,,,WEIGHT,Weight,UTERUS,1.658,g,94,F
T103875-4,T103875-4-0050,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.73151,%,94,F
T103875-4,T103875-4-0050,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.081,g,94,F
T103875-4,T103875-4-0050,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.03574,%,94,F
T103875-4,T103875-4-0050,,,,WEIGHT,Weight,SPLEEN,0.579,g,94,F
T103875-4,T103875-4-0050,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.25546,%,94,F
T103875-4,T103875-4-0050,,,,WEIGHT,Weight,THYMUS,0.296,g,94,F
T103875-4,T103875-4-0050,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.1306,%,94,F
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,BRAIN,2.038,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.49204,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,HEART,1.59,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,HEART,0.38388,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,LIVER,13.465,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.2509,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,KIDNEY,2.683,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.64776,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,TESTIS,3.725,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,TESTIS,0.89934,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,EPIDIDYMIS,1.846,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIS,0.44568,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,"GLAND, PROSTATE",0.755,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,"GLAND, PROSTATE",0.18228,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,"GLAND, SEMINAL VESICLE",1.554,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,"GLAND, SEMINAL VESICLE",0.37519,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.073,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.01762,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,SPLEEN,0.826,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.19942,%,92,M
T103875-4,T103875-4-0001,,,,WEIGHT,Weight,THYMUS,0.548,g,92,M
T103875-4,T103875-4-0001,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.13231,%,92,M
T103875-4,T103875-4-0042,,,,WEIGHT,Weight,BRAIN,1.998,g,93,F
T103875-4,T103875-4-0042,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.95154,%,93,F
T103875-4,T103875-4-0042,,,,WEIGHT,Weight,HEART,0.82,g,93,F
T103875-4,T103875-4-0042,,,,OWBW,Organ to Body Weight Ratio,HEART,0.39052,%,93,F
T103875-4,T103875-4-0042,,,,WEIGHT,Weight,LIVER,8.004,g,93,F
T103875-4,T103875-4-0042,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.8119,%,93,F
T103875-4,T103875-4-0042,,,,WEIGHT,Weight,KIDNEY,1.572,g,93,F
T103875-4,T103875-4-0042,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.74866,%,93,F
T103875-4,T103875-4-0042,,,,WEIGHT,Weight,OVARY,0.123,g,93,F
T103875-4,T103875-4-0042,,,,OWBW,Organ to Body Weight Ratio,OVARY,0.05858,%,93,F
T103875-4,T103875-4-0042,,,,WEIGHT,Weight,UTERUS,0.495,g,93,F
T103875-4,T103875-4-0042,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.23574,%,93,F
T103875-4,T103875-4-0042,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.055,g,93,F
T103875-4,T103875-4-0042,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.02619,%,93,F
T103875-4,T103875-4-0042,,,,WEIGHT,Weight,SPLEEN,0.612,g,93,F
T103875-4,T103875-4-0042,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.29146,%,93,F
T103875-4,T103875-4-0042,,,,WEIGHT,Weight,THYMUS,0.306,g,93,F
