SPREFID,USUBJID,BWORRES,BWORRESU,BWDY,trial_set_description,SEX
T105017-4,T105017-4-0017,301,g,27,Dose group 1,M
T105017-4,T105017-4-0017,257,g,12,Dose group 1,M
T105017-4,T105017-4-0017,286,g,21,Dose group 1,M
T105017-4,T105017-4-0017,217,g,3,Dose group 1,M
T105017-4,T105017-4-0017,242,g,8,Dose group 1,M
T105017-4,T105017-4-0017,274,g,17,Dose group 1,M
T105017-4,T105017-4-0017,302,g,28,Dose group 1,M
T105017-4,T105017-4-0017,217,g,4,Dose group 1,M
T105017-4,T105017-4-0017,262,g,13,Dose group 1,M
T105017-4,T105017-4-0017,285,g,22,Dose group 1,M
T105017-4,T105017-4-0017,312,g,29,Dose group 1,M
T105017-4,T105017-4-0017,170,g,-6,Dose group 1,M
T105017-4,T105017-4-0017,246,g,9,Dose group 1,M
T105017-4,T105017-4-0017,279,g,18,Dose group 1,M
T105017-4,T105017-4-0017,292,g,23,Dose group 1,M
T105017-4,T105017-4-0017,227,g,5,Dose group 1,M
T105017-4,T105017-4-0017,265,g,14,Dose group 1,M
T105017-4,T105017-4-0017,290,g,24,Dose group 1,M
T105017-4,T105017-4-0017,206,g,1,Dose group 1,M
T105017-4,T105017-4-0017,248,g,10,Dose group 1,M
T105017-4,T105017-4-0017,284,g,19,Dose group 1,M
T105017-4,T105017-4-0017,298,g,25,Dose group 1,M
T105017-4,T105017-4-0017,234,g,6,Dose group 1,M
T105017-4,T105017-4-0017,210,g,2,Dose group 1,M
T105017-4,T105017-4-0017,270,g,15,Dose group 1,M
T105017-4,T105017-4-0017,254,g,11,Dose group 1,M
T105017-4,T105017-4-0017,284,g,20,Dose group 1,M
T105017-4,T105017-4-0017,296,g,26,Dose group 1,M
T105017-4,T105017-4-0017,233,g,7,Dose group 1,M
T105017-4,T105017-4-0017,266,g,16,Dose group 1,M
T105017-4,T105017-4-0019,224,g,3,Dose group 1,M
T105017-4,T105017-4-0019,297,g,27,Dose group 1,M
T105017-4,T105017-4-0019,259,g,12,Dose group 1,M
T105017-4,T105017-4-0019,285,g,21,Dose group 1,M
T105017-4,T105017-4-0019,248,g,8,Dose group 1,M
T105017-4,T105017-4-0019,270,g,17,Dose group 1,M
T105017-4,T105017-4-0019,301,g,28,Dose group 1,M
T105017-4,T105017-4-0019,227,g,4,Dose group 1,M
T105017-4,T105017-4-0019,257,g,13,Dose group 1,M
T105017-4,T105017-4-0019,274,g,22,Dose group 1,M
T105017-4,T105017-4-0019,308,g,29,Dose group 1,M
T105017-4,T105017-4-0019,183,g,-6,Dose group 1,M
T105017-4,T105017-4-0019,248,g,9,Dose group 1,M
T105017-4,T105017-4-0019,274,g,18,Dose group 1,M
T105017-4,T105017-4-0019,279,g,23,Dose group 1,M
T105017-4,T105017-4-0019,233,g,5,Dose group 1,M
T105017-4,T105017-4-0019,259,g,14,Dose group 1,M
T105017-4,T105017-4-0019,217,g,1,Dose group 1,M
T105017-4,T105017-4-0019,252,g,10,Dose group 1,M
T105017-4,T105017-4-0019,284,g,24,Dose group 1,M
T105017-4,T105017-4-0019,277,g,19,Dose group 1,M
T105017-4,T105017-4-0019,239,g,6,Dose group 1,M
T105017-4,T105017-4-0019,286,g,25,Dose group 1,M
T105017-4,T105017-4-0019,218,g,2,Dose group 1,M
T105017-4,T105017-4-0019,266,g,15,Dose group 1,M
T105017-4,T105017-4-0019,256,g,11,Dose group 1,M
T105017-4,T105017-4-0019,280,g,20,Dose group 1,M
T105017-4,T105017-4-0019,292,g,26,Dose group 1,M
T105017-4,T105017-4-0019,241,g,7,Dose group 1,M
T105017-4,T105017-4-0019,266,g,16,Dose group 1,M
T105017-4,T105017-4-0033,275,g,16,Dose group 2,M
T105017-4,T105017-4-0033,285,g,20,Dose group 2,M
T105017-4,T105017-4-0033,264,g,12,Dose group 2,M
T105017-4,T105017-4-0033,297,g,27,Dose group 2,M
T105017-4,T105017-4-0033,229,g,3,Dose group 2,M
T105017-4,T105017-4-0033,286,g,21,Dose group 2,M
T105017-4,T105017-4-0033,255,g,8,Dose group 2,M
T105017-4,T105017-4-0033,275,g,17,Dose group 2,M
T105017-4,T105017-4-0033,300,g,28,Dose group 2,M
T105017-4,T105017-4-0033,284,g,22,Dose group 2,M
T105017-4,T105017-4-0033,309,g,29,Dose group 2,M
T105017-4,T105017-4-0033,234,g,4,Dose group 2,M
T105017-4,T105017-4-0033,266,g,13,Dose group 2,M
T105017-4,T105017-4-0033,179,g,-6,Dose group 2,M
T105017-4,T105017-4-0033,289,g,23,Dose group 2,M
T105017-4,T105017-4-0033,255,g,9,Dose group 2,M
