SPREFID,USUBJID,OMEXCLFL,OMSTAT,OMREASND,OMTESTCD,OMTEST,OMSPEC,OMSTRES,OMSTRESU,OMDY,SEX,trial_set_description
T105000-6,T105000-6-0031,,,,WEIGHT,Weight,BRAIN,2.014,g,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.14013,%,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,WEIGHT,Weight,HEART,0.974,g,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,OWBW,Organ to Body Weight Ratio,HEART,0.33048,%,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,WEIGHT,Weight,LIVER,13.905,g,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,OWBW,Organ to Body Weight Ratio,LIVER,4.7179,%,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,WEIGHT,Weight,KIDNEYS,2.507,g,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,OWBW,Organ to Body Weight Ratio,KIDNEYS,0.85062,%,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,WEIGHT,Weight,TESTES,3.3,g,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,OWBW,Organ to Body Weight Ratio,TESTES,1.1197,%,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,WEIGHT,Weight,EPIDIDYMIDES,1.057,g,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIDES,0.35864,%,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,WEIGHT,Weight,PROSTATE GLAND,0.395,g,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,OWBW,Organ to Body Weight Ratio,PROSTATE GLAND,0.13402,%,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,WEIGHT,Weight,SEMINAL VESICLES,1.309,g,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,OWBW,Organ to Body Weight Ratio,SEMINAL VESICLES,0.44414,%,31,M,Dose group 3
